# Medicare Psych Comorbidity Mappings - ICD10 diagnosis codes with decimals
# File created for Medicare Inpatient FY2026: (08/11/2025 KC)
#
# This file contains the comorbidity mappings used with Medicare Psych
# Combined Comorbidity Assignment. The adjustment factors and comorbidity categories
# in this file have been set by CMS effective 10/01/2025.  It provides the 
# adjustment factor and comorbidity category for each psychiatric ICD10 secondary 
# diagnosis code that is eligible for an adjustment per CMS source data found on 
# CMS website. 
#
# This file is selected on the Date and File tab of the Psych Combined Comorbidity 
# Factors Assignment screen. It should be copied to a directory accessible by the
# person running this calculation.
# 
# Note that if more than one code exists for an encounter that is mapped to the 
# same comorbidity category, the assignment will apply the adjustment only one time.
#
#
# The ICD10 diagnosis codes used below include decimals.
#
# Comorbidity Category Definitions
#  1 - Developmental Disabilities
#  2 - Coagulation Factor Deficits
#  3 - Tracheostomy
#  4 - Renal Failure, Acute
#  5 - Renal Failure, Chronic
#  6 - Oncology Treatment
#  7 - Uncontrolled Type 1 Diabetes - Mellitus with or without complications
#  8 - Severe Protein Calorie Malnutrition
#  9 - Eating and Conduct Disorders
# 10 - Infectious Diseases
# 11 - Drug/Alcohol Induced Mental Disorders
# 12 - Cardiac Conditions
# 13 - Gangrene
# 14 - Chronic Obstructive Pulmonary Disease
# 15 - Artificial Openings - Digestive and Urinary
# 16 - Severe Musculoskeletal & Connective Tissue Diseases
# 17 - Poisoning
#
#Record Format: secondary diagnosis code|adjustment factor|comorbidity category
C67.2|1.44|6
C67.3|1.44|6
C67.4|1.44|6
C67.5|1.44|6
C67.6|1.44|6
C67.7|1.44|6
C67.8|1.44|6
C67.9|1.44|6
C68.0|1.44|6
C68.1|1.44|6
C68.8|1.44|6
C68.9|1.44|6
C69.01|1.44|6
C69.02|1.44|6
C69.11|1.44|6
C69.12|1.44|6
C69.20|1.44|6
C69.21|1.44|6
C69.22|1.44|6
C69.30|1.44|6
C69.31|1.44|6
C69.32|1.44|6
C69.40|1.44|6
C69.41|1.44|6
C69.42|1.44|6
C69.51|1.44|6
C69.52|1.44|6
C69.61|1.44|6
C69.62|1.44|6
C69.81|1.44|6
C69.82|1.44|6
C69.91|1.44|6
C69.92|1.44|6
C70.0|1.44|6
C70.1|1.44|6
C70.9|1.44|6
C71.0|1.44|6
C71.1|1.44|6
C71.2|1.44|6
C71.3|1.44|6
C71.4|1.44|6
C71.5|1.44|6
C71.6|1.44|6
C71.7|1.44|6
C71.8|1.44|6
C71.9|1.44|6
C72.0|1.44|6
C72.1|1.44|6
C72.20|1.44|6
C72.21|1.44|6
C72.22|1.44|6
C72.30|1.44|6
C72.31|1.44|6
C72.32|1.44|6
C72.40|1.44|6
C72.41|1.44|6
C72.42|1.44|6
C72.50|1.44|6
C72.59|1.44|6
C73.|1.44|6
C74.00|1.44|6
C74.01|1.44|6
C74.02|1.44|6
C74.10|1.44|6
C74.11|1.44|6
C74.12|1.44|6
C74.91|1.44|6
C74.92|1.44|6
C75.0|1.44|6
C75.1|1.44|6
C75.2|1.44|6
C75.3|1.44|6
C75.4|1.44|6
C75.5|1.44|6
C75.8|1.44|6
C75.9|1.44|6
C76.0|1.44|6
C76.1|1.44|6
C76.2|1.44|6
C76.3|1.44|6
C76.41|1.44|6
C76.42|1.44|6
C76.51|1.44|6
C76.52|1.44|6
C76.8|1.44|6
C77.0|1.44|6
C77.1|1.44|6
C77.2|1.44|6
C77.3|1.44|6
C77.4|1.44|6
C77.5|1.44|6
C77.8|1.44|6
C78.00|1.44|6
C78.01|1.44|6
C78.02|1.44|6
C78.1|1.44|6
C78.2|1.44|6
C78.30|1.44|6
C78.39|1.44|6
C78.4|1.44|6
C78.5|1.44|6
C78.6|1.44|6
C78.7|1.44|6
C78.80|1.44|6
C78.89|1.44|6
C79.00|1.44|6
C79.01|1.44|6
C79.02|1.44|6
C79.10|1.44|6
C79.11|1.44|6
C79.19|1.44|6
C79.2|1.44|6
C79.31|1.44|6
C79.32|1.44|6
C79.40|1.44|6
C79.49|1.44|6
C79.51|1.44|6
C79.52|1.44|6
C79.60|1.44|6
C79.61|1.44|6
C79.62|1.44|6
C79.63|1.44|6
C79.70|1.44|6
C79.71|1.44|6
C79.72|1.44|6
C79.81|1.44|6
C79.82|1.44|6
C79.89|1.44|6
C7A.00|1.44|6
C7A.010|1.44|6
C7A.011|1.44|6
C7A.012|1.44|6
C7A.019|1.44|6
C7A.020|1.44|6
C7A.021|1.44|6
C7A.022|1.44|6
C7A.023|1.44|6
C7A.024|1.44|6
C7A.025|1.44|6
C7A.026|1.44|6
C7A.029|1.44|6
C7A.090|1.44|6
C7A.091|1.44|6
C7A.092|1.44|6
C7A.093|1.44|6
C7A.094|1.44|6
C7A.095|1.44|6
C7A.096|1.44|6
C7A.098|1.44|6
C7A.1|1.44|6
C7A.8|1.44|6
C7B.00|1.44|6
C7B.01|1.44|6
C7B.02|1.44|6
C7B.03|1.44|6
C7B.04|1.44|6
C7B.09|1.44|6
C7B.1|1.44|6
C7B.8|1.44|6
C80.0|1.44|6
C80.1|1.44|6
C80.2|1.44|6
C81.00|1.44|6
C81.01|1.44|6
C81.02|1.44|6
C81.03|1.44|6
C81.04|1.44|6
C81.05|1.44|6
C81.06|1.44|6
C81.07|1.44|6
C81.08|1.44|6
C81.09|1.44|6
C81.0A|1.44|6
C81.10|1.44|6
C81.11|1.44|6
C81.12|1.44|6
C81.13|1.44|6
C81.14|1.44|6
